iter	Passed	Remaining
0	37	2938
1	91	3562
2	185	4770
3	290	5515
4	380	5706
5	471	5812
6	560	5846
7	650	5857
8	738	5829
9	824	5772
10	919	5770
11	1012	5735
12	1116	5753
13	1207	5691
14	1301	5640
15	1393	5573
16	1488	5515
17	1570	5409
18	1668	5357
19	1799	5397
20	1893	5321
21	2000	5275
22	2115	5243
23	2213	5164
24	2303	5067
25	2392	4968
26	2479	4868
27	2565	4764
28	2649	4658
29	2737	4562
30	2839	4487
31	2946	4420
32	3049	4342
33	3134	4241
34	3218	4138
35	3305	4039
36	3390	3940
37	3474	3839
38	3558	3740
39	3656	3656
40	3749	3566
41	3837	3471
42	3921	3374
43	4019	3288
44	4112	3198
45	4201	3105
46	4289	3011
47	4374	2916
48	4463	2823
49	4552	2731
50	4643	2640
51	4726	2544
52	4813	2451
53	4898	2358
54	4990	2268
55	5085	2179
56	5171	2086
57	5257	1994
58	5344	1902
59	5429	1809
60	5517	1718
61	5610	1628
62	5711	1541
63	5813	1453
64	5914	1364
65	6015	1276
66	6115	1186
67	6201	1094
68	6292	1003
69	6378	911
70	6462	819
71	6567	729
72	6666	639
73	6762	548
74	6853	456
75	6944	365
76	7041	274
77	7135	182
78	7227	91
79	7321	0
