iter	Passed	Remaining
0	61	4823
1	146	5703
2	269	6929
3	372	7070
4	474	7124
5	545	6723
6	659	6873
7	780	7025
8	875	6908
9	1010	7076
10	1133	7108
11	1223	6933
12	1308	6742
13	1350	6364
14	1442	6252
15	1533	6134
16	1624	6020
17	1705	5874
18	1778	5708
19	1853	5560
20	1929	5421
21	2007	5293
22	2081	5157
23	2155	5029
24	2239	4926
25	2326	4831
26	2429	4769
27	2560	4754
28	2722	4788
29	2830	4718
30	2913	4605
31	2988	4482
32	3062	4361
33	3131	4236
34	3205	4121
35	3288	4019
36	3384	3933
37	3461	3826
38	3547	3729
39	3618	3618
40	3693	3513
41	3767	3408
42	3838	3302
43	3914	3202
44	3983	3098
45	4058	2999
46	4137	2905
47	4216	2811
48	4299	2720
49	4384	2630
50	4459	2535
51	4523	2435
52	4597	2342
53	4711	2268
54	4860	2209
55	4952	2122
56	5033	2030
57	5115	1940
58	5186	1846
59	5267	1755
60	5349	1666
61	5431	1576
62	5510	1487
63	5596	1399
64	5674	1309
65	5752	1220
66	5824	1130
67	5902	1041
68	5982	953
69	6055	865
70	6127	776
71	6196	688
72	6278	602
73	6343	514
74	6420	428
75	6497	341
76	6574	256
77	6652	170
78	6745	85
79	6839	0
