iter	Logloss
0	0.3082333882
1	0.2383570229
2	0.2055198975
3	0.1943352317
4	0.1874154698
5	0.186487821
6	0.1833430442
7	0.181865549
8	0.1799708091
9	0.1783461929
10	0.177710096
11	0.1762422257
12	0.174587153
13	0.1745871269
14	0.1744282024
15	0.1737826382
16	0.172529391
17	0.1721850887
18	0.1717942354
19	0.1714787614
20	0.1707958225
21	0.1704896052
22	0.1695914576
23	0.1695913642
24	0.1689129595
25	0.1684795756
26	0.1679364998
27	0.1679363252
28	0.1672677878
29	0.1667027329
30	0.1657530221
31	0.1650837398
32	0.1646071817
33	0.1642294927
34	0.1641118337
35	0.1634688475
36	0.1634680975
37	0.1631438931
38	0.1626913734
39	0.1626913494
40	0.1624707391
41	0.1621351925
42	0.1615847047
43	0.1608959607
44	0.160758459
45	0.1601361652
46	0.1599119492
47	0.1596184178
48	0.1591195103
49	0.1585592439
50	0.157739244
51	0.1577391827
52	0.1576534263
53	0.1573385066
54	0.1572290589
55	0.1567735531
56	0.1560183836
57	0.1553203478
58	0.1542781596
59	0.1537088392
60	0.1536493397
61	0.1532334311
62	0.1530706542
63	0.1527870739
64	0.1526557479
65	0.1524997029
66	0.151474743
67	0.1512221994
68	0.1505024212
69	0.1500266209
70	0.1495726824
71	0.1490037044
72	0.1487845547
73	0.1484477136
74	0.1480105487
75	0.1477663657
76	0.1473030471
77	0.1470555635
78	0.1467873214
79	0.1464366067
