iter	Logloss
0	0.3030021131
1	0.232340196
2	0.2032396582
3	0.1889832773
4	0.1814305686
5	0.1786189268
6	0.1761284725
7	0.1746213827
8	0.1736126134
9	0.1731600089
10	0.172398358
11	0.1723192082
12	0.1717742762
13	0.1703433297
14	0.1696641991
15	0.1689315776
16	0.1680316974
17	0.167882087
18	0.166669509
19	0.1660358593
20	0.1657582556
21	0.1650795919
22	0.1643881568
23	0.1634139486
24	0.1629280426
25	0.162836715
26	0.1626482407
27	0.1620695356
28	0.160587746
29	0.1601835067
30	0.1597867738
31	0.1591014613
32	0.1584244127
33	0.1579030234
34	0.1576114714
35	0.1572887148
36	0.1567886583
37	0.1558948336
38	0.1554078081
39	0.1551173438
40	0.15456224
41	0.1542354809
42	0.1537022692
43	0.153544932
44	0.1532813004
45	0.1528657583
46	0.1525793744
47	0.15140197
48	0.151146387
49	0.1507068433
50	0.1500230405
51	0.1495280741
52	0.1491926746
53	0.1483979982
54	0.1480459151
55	0.1477472012
56	0.1476626958
57	0.1472121244
58	0.1467833043
59	0.1463822623
60	0.1462373198
61	0.1457079901
62	0.1452576235
63	0.1448930864
64	0.144559348
65	0.1442514348
66	0.1437327776
67	0.1436201239
68	0.143205825
69	0.1428503772
70	0.1423829644
71	0.1421122303
72	0.1415034676
73	0.1412303515
74	0.140695801
75	0.1403108859
76	0.1399211307
77	0.1397846174
78	0.1393680984
79	0.138999226
