iter	Passed	Remaining
0	29	2292
1	80	3138
2	131	3371
3	233	4444
4	349	5242
5	457	5640
6	566	5908
7	698	6287
8	825	6511
9	958	6712
10	1088	6825
11	1212	6872
12	1333	6872
13	1476	6961
14	1613	6989
15	1745	6982
16	1865	6913
17	1967	6775
18	2059	6610
19	2149	6448
20	2242	6299
21	2334	6153
22	2432	6028
23	2523	5889
24	2616	5756
25	2704	5617
26	2789	5475
27	2879	5347
28	2974	5231
29	3070	5117
30	3168	5008
31	3263	4894
32	3370	4799
33	3464	4686
34	3561	4579
35	3646	4457
36	3735	4341
37	3825	4227
38	3910	4111
39	4000	4000
40	4091	3892
41	4180	3782
42	4271	3675
43	4353	3562
44	4435	3450
45	4525	3345
46	4617	3242
47	4702	3134
48	4783	3026
49	4864	2918
50	4951	2815
51	5040	2713
52	5130	2613
53	5216	2511
54	5310	2414
55	5401	2314
56	5491	2215
57	5592	2121
58	5681	2022
59	5769	1923
60	5863	1826
61	5948	1726
62	6025	1625
63	6110	1527
64	6197	1430
65	6282	1332
66	6370	1236
67	6450	1138
68	6540	1042
69	6626	946
70	6713	850
71	6797	755
72	6882	659
73	6969	565
74	7055	470
75	7142	375
76	7232	281
77	7328	187
78	7415	93
79	7517	0
