iter	Logloss
0	0.305068169
1	0.2341082392
2	0.198871524
3	0.1881923487
4	0.1814684416
5	0.1781791402
6	0.1763589366
7	0.1750066001
8	0.1744374497
9	0.1731251328
10	0.1724648607
11	0.1708609958
12	0.1708609369
13	0.1704969337
14	0.1696650431
15	0.1695399728
16	0.1688909564
17	0.1679547084
18	0.1669932207
19	0.1661916884
20	0.1652962547
21	0.1645236118
22	0.1637479165
23	0.1632284105
24	0.1629909927
25	0.1629663545
26	0.1627552476
27	0.1622975153
28	0.1612421925
29	0.160448957
30	0.1596057513
31	0.1592373784
32	0.1584849108
33	0.1579880618
34	0.1568527113
35	0.1562881686
36	0.1559155204
37	0.1555014756
38	0.1548780682
39	0.1539110769
40	0.1537599812
41	0.1535384696
42	0.1530918696
43	0.1525903602
44	0.1516673021
45	0.1515117731
46	0.1512496874
47	0.1506961914
48	0.1503276878
49	0.1494600703
50	0.1493533877
51	0.1490961049
52	0.148533603
53	0.1480415343
54	0.147790983
55	0.1468813586
56	0.1465421667
57	0.146389576
58	0.1459975803
59	0.1455101104
60	0.1450036194
61	0.144391323
62	0.1436449065
63	0.1431144748
64	0.1421813959
65	0.1417951436
66	0.1416024148
67	0.1407957412
68	0.1402770252
69	0.140129097
70	0.1394959426
71	0.1392660973
72	0.1389843309
73	0.1383129615
74	0.1381043278
75	0.1379316455
76	0.137588313
77	0.1372312572
78	0.1370042008
79	0.1369547056
