iter	Passed	Remaining
0	30	2438
1	78	3067
2	160	4116
3	234	4456
4	318	4773
5	395	4880
6	471	4920
7	600	5401
8	746	5891
9	870	6094
10	982	6164
11	1081	6131
12	1140	5877
13	1267	5975
14	1367	5926
15	1470	5882
16	1559	5780
17	1650	5684
18	1749	5618
19	1827	5483
20	1905	5352
21	1981	5223
22	2058	5101
23	2136	4984
24	2214	4872
25	2294	4764
26	2367	4646
27	2447	4545
28	2520	4431
29	2596	4326
30	2671	4223
31	2754	4131
32	2837	4040
33	2906	3932
34	2990	3845
35	3065	3746
36	3144	3654
37	3217	3556
38	3288	3456
39	3364	3364
40	3449	3281
41	3528	3192
42	3605	3102
43	3687	3017
44	3767	2930
45	3843	2840
46	3919	2751
47	3992	2661
48	4067	2573
49	4151	2490
50	4231	2405
51	4309	2320
52	4391	2237
53	4473	2154
54	4546	2066
55	4626	1982
56	4704	1898
57	4779	1812
58	4856	1728
59	4936	1645
60	5010	1560
61	5090	1477
62	5172	1395
63	5246	1311
64	5325	1228
65	5399	1145
66	5483	1063
67	5558	980
68	5630	897
69	5709	815
70	5793	734
71	5873	652
72	5945	570
73	6019	488
74	6095	406
75	6168	324
76	6242	243
77	6318	162
78	6395	80
79	6475	0
