iter	Logloss
0	0.3072675982
1	0.2372454521
2	0.2046296169
3	0.1924292369
4	0.1866069751
5	0.1825361537
6	0.1805406491
7	0.1794816637
8	0.178389722
9	0.1766476798
10	0.1766149694
11	0.176586971
12	0.1758745447
13	0.1746447276
14	0.1737618004
15	0.1737617541
16	0.1730748829
17	0.1726622396
18	0.1719128478
19	0.1715193229
20	0.1711996367
21	0.1706310949
22	0.1703128877
23	0.169438934
24	0.1688168389
25	0.1680024055
26	0.1677015086
27	0.1672565075
28	0.1661995947
29	0.165909845
30	0.1653974975
31	0.1652222433
32	0.1644888132
33	0.1638382049
34	0.1633815654
35	0.163171537
36	0.1627926428
37	0.1624598423
38	0.1618331146
39	0.1615786206
40	0.1611074119
41	0.1606040975
42	0.1603504065
43	0.1600516416
44	0.1596577588
45	0.1588663521
46	0.1584636948
47	0.1583046706
48	0.1574385948
49	0.1569697336
50	0.1567420657
51	0.155117084
52	0.1546098904
53	0.1541596912
54	0.1541590557
55	0.1539691567
56	0.1534753848
57	0.1529288049
58	0.1525358473
59	0.1521969511
60	0.1519460735
61	0.1518121426
62	0.1515314394
63	0.1512412549
64	0.1508075536
65	0.1504947478
66	0.1504946503
67	0.1501706685
68	0.1501035489
69	0.1499606858
70	0.1497431126
71	0.1496451637
72	0.1492188739
73	0.1492188405
74	0.148784545
75	0.1483954073
76	0.1476992156
77	0.1471283393
78	0.146798734
79	0.1464567582
