iter	Logloss
0	0.6853785702
1	0.6777653687
2	0.6703074337
3	0.6629967933
4	0.6558271892
5	0.6487941511
6	0.6418917932
7	0.6351220526
8	0.6284724871
9	0.6219467847
10	0.6155432317
11	0.6092528505
12	0.6030804838
13	0.5970252375
14	0.591079028
15	0.5852307541
16	0.579478665
17	0.5738463785
18	0.5683039439
19	0.5628854097
20	0.5575296079
21	0.5522701772
22	0.5471100232
23	0.5420272044
24	0.5370306614
25	0.5321231508
26	0.5272966262
27	0.5225711291
28	0.5179051235
29	0.513336532
30	0.5088185661
31	0.5043806176
32	0.500022016
33	0.495730021
34	0.4915134987
35	0.487358703
36	0.4832813543
37	0.4792644285
38	0.4753107939
39	0.4714201525
40	0.4676024133
41	0.4638320216
42	0.4601266719
43	0.4564822293
44	0.4529049149
45	0.4493710364
46	0.4458969102
47	0.4424755329
48	0.4391054144
49	0.4357945639
50	0.4325360153
51	0.4293165813
52	0.4261438242
53	0.4230229219
54	0.4199494415
55	0.4169341861
56	0.4139529417
57	0.4110214661
58	0.4081323834
59	0.4052849856
60	0.4024863881
61	0.3997284698
62	0.3970095917
63	0.3943393647
64	0.3916994981
65	0.3891054144
66	0.3865538724
67	0.3840326164
68	0.3815496555
69	0.3790999234
70	0.3766925842
71	0.3743125507
72	0.3719727494
73	0.3696631595
74	0.3673941371
75	0.3651568907
76	0.3629527987
77	0.3607811904
78	0.358638378
79	0.3565301727
80	0.3544575803
81	0.3524106919
82	0.3503952815
83	0.3483987206
84	0.3464372884
85	0.3445140396
86	0.3426151908
87	0.3407263628
88	0.3388591038
89	0.337027793
90	0.3352021445
91	0.3334057389
92	0.331640029
93	0.3298942116
94	0.3281773391
95	0.3264887782
96	0.3248073324
97	0.323183441
98	0.3215712468
99	0.3199688498
